order,family,common_name,bird_id,normalized_response,n,relaxed_by_hand
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,branches,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,brownbird,4,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,brownfinch,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,brownrobin,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,brownshortbeak,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,brownsparrow,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,brownstatebird,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,browntailedfinch,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,bushtit,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,cardinal,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,chicka,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,chickadee,3,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,cutebabytaupebird,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,easternwoodpewee,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,finch,20,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,graybudgie,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,graychickadee,1,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,grayfinch,3,
Passeriformes,Tyrannidae (Tyrant Flycatchers),Alder Flycatcher,aldfly,grey,1,
